Date,Price,Open,High,Low,Vol.,Change %
2008-02-04,1690.13,1655.78,1696.56,1655.78,333.08M,3.40%
2008-02-01,1634.53,1645.05,1648.97,1619.65,308.09M,0.61%
2008-01-31,1624.68,1582.19,1630.12,1570.87,334.13M,2.24%
2008-01-30,1589.06,1653,1653.2,1578.29,380.52M,-2.98%
2008-01-29,1637.91,1657.9,1662.9,1622.52,275.31M,0.66%
2008-01-28,1627.19,1668.07,1674.47,1620.9,259.31M,-3.85%
2008-01-25,1692.41,1682.93,1692.66,1674.21,272.61M,1.77%
2008-01-24,1663,1663.36,1675.69,1649,270.63M,2.12%
2008-01-23,1628.42,1652.62,1659.28,1604.54,272.14M,1.21%
2008-01-22,1609.02,1628.92,1636.06,1578.37,316.87M,-4.43%
2008-01-21,1683.56,1723.95,1724.39,1673.42,286.06M,-2.95%
2008-01-18,1734.72,1689.28,1737.42,1684.39,287.71M,0.65%
2008-01-17,1723.55,1726.03,1732.64,1687.1,296.03M,1.09%
2008-01-16,1704.97,1715.97,1735.51,1701.32,295.61M,-2.40%
2008-01-15,1746.95,1781.53,1781.53,1723.14,295.55M,-1.07%
2008-01-14,1765.88,1781,1790.69,1754.13,249.32M,-0.92%
2008-01-11,1782.27,1844.57,1847.11,1776.26,280.82M,-2.33%
2008-01-10,1824.78,1847.94,1855.07,1824.78,315.48M,-1.07%
2008-01-09,1844.47,1802.06,1844.47,1794.15,277.67M,1.00%
2008-01-08,1826.23,1838.64,1840.62,1818.69,296.57M,-0.27%
2008-01-07,1831.14,1815.73,1840.99,1814.35,268.13M,-1.76%
2008-01-04,1863.9,1853.54,1869.76,1824.41,299.08M,0.60%
2008-01-03,1852.73,1834.44,1858.08,1821.61,253.67M,-0.04%
2008-01-02,1853.45,1891.45,1892.5,1852.78,247.09M,-2.30%
2007-12-28,1897.13,1892.56,1911.67,1890.81,229.42M,-0.60%
2007-12-27,1908.62,1901.93,1915.19,1891.29,235.85M,0.10%
2007-12-26,1906.72,1924.91,1926.09,1901.91,260.98M,-0.66%
2007-12-24,1919.47,1899.2,1921.39,1894.79,317.06M,2.19%
2007-12-21,1878.32,1855.06,1878.32,1832.34,362.58M,1.84%
2007-12-20,1844.37,1878.59,1882.61,1843.73,401.82M,-0.92%
2007-12-18,1861.47,1821.3,1869.71,1808.86,277.04M,1.18%
2007-12-17,1839.82,1873.15,1886.39,1839.58,282.47M,-2.91%
2007-12-14,1895.05,1914.47,1921.53,1877.27,301.46M,-1.09%
2007-12-13,1915.9,1921.65,1937.5,1897.25,328.59M,-0.60%
2007-12-12,1927.45,1887.5,1928.77,1887.23,314.55M,0.12%
2007-12-11,1925.07,1922.66,1929.71,1904.21,264.53M,0.98%
2007-12-10,1906.42,1930.36,1935.86,1900.95,284.76M,-1.44%
